#Electron Neutrino Suvival Probability Scenario: Accreation Energy Hierarchy 
#E [MeV], Pee, Peebar
4.250000000000000000e+01,9.780400844029268903e-01,2.113420194747389624e-02
4.300000000000000000e+01,9.784899653202645542e-01,2.118980593416613933e-02
4.350000000000000000e+01,9.788646652682987392e-01,2.149464976229420454e-02
4.400000000000000000e+01,9.790298940567412345e-01,2.194164824262206936e-02
4.450000000000000000e+01,9.789217295480088232e-01,2.237753071102766000e-02
4.500000000000000000e+01,9.785641805539159188e-01,2.265805649575386438e-02
4.550000000000000000e+01,9.780573451144534136e-01,2.269378489289120004e-02
4.600000000000000000e+01,9.775435449795122356e-01,2.247324279707368921e-02
4.650000000000000000e+01,9.771643620407517439e-01,2.205992891540003997e-02
4.700000000000000000e+01,9.770220492204428897e-01,2.156814097480097558e-02
4.750000000000000000e+01,9.771553099584513458e-01,2.112776850826364461e-02
4.800000000000000000e+01,9.775338638543972225e-01,2.084930697243708719e-02
4.850000000000000000e+01,9.780705739607317151e-01,2.079813063428831432e-02
4.900000000000000000e+01,9.786457271428754545e-01,2.098295831259600064e-02
4.950000000000000000e+01,9.791360708090420806e-01,2.135900740479362847e-02
