#Electron Neutrino Suvival Probability Scenario: Accreation Burrows 
#E [MeV], Pee, Peebar
3.350000000000000000e+01,9.784308343183083512e-01,2.197719320732649528e-02
3.400000000000000000e+01,9.783116274026535386e-01,2.183806442979896456e-02
3.450000000000000000e+01,9.780858123053910447e-01,2.162215347655349618e-02
3.500000000000000000e+01,9.780046655523584320e-01,2.157567111228197998e-02
3.550000000000000000e+01,9.781516427256056190e-01,2.174386680809775596e-02
3.600000000000000000e+01,9.783776212468625610e-01,2.194986694988709797e-02
3.650000000000000000e+01,9.784679942797451790e-01,2.199370070786138553e-02
3.700000000000000000e+01,9.783430738391361015e-01,2.183927732159035573e-02
3.750000000000000000e+01,9.781115109182283440e-01,2.162599178959728752e-02
3.800000000000000000e+01,9.779616516440603480e-01,2.153171002580689386e-02
3.850000000000000000e+01,9.780076502850347797e-01,2.162773491897040934e-02
3.900000000000000000e+01,9.782137746711622173e-01,2.183798450671631253e-02
3.950000000000000000e+01,9.784353768678597518e-01,2.201069412924738788e-02
4.000000000000000000e+01,9.785263736060569872e-01,2.203027644783750461e-02
4.050000000000000000e+01,9.784314408836444210e-01,2.188769506381171848e-02
4.100000000000000000e+01,9.782094735200175251e-01,2.167361889046515167e-02
4.150000000000000000e+01,9.779877591854689856e-01,2.151386118615705723e-02
4.200000000000000000e+01,9.778854981634497179e-01,2.149528219286417352e-02
4.250000000000000000e+01,9.779529904834760590e-01,2.162422214886500216e-02
4.300000000000000000e+01,9.781542588079024103e-01,2.183256924509052732e-02
4.350000000000000000e+01,9.783932963217318868e-01,2.201913672853778037e-02
4.400000000000000000e+01,9.785636389782739197e-01,2.209995425344335462e-02
4.450000000000000000e+01,9.785950628282202857e-01,2.204309012168964577e-02
4.500000000000000000e+01,9.784782954056615578e-01,2.187600753945923016e-02
4.550000000000000000e+01,9.782619069514602028e-01,2.166772321047427674e-02
4.600000000000000000e+01,9.780277718311096713e-01,2.149763774744356537e-02
4.650000000000000000e+01,9.778581430418489262e-01,2.142534235342152815e-02
4.700000000000000000e+01,9.778075334000814189e-01,2.147211787466019040e-02
4.750000000000000000e+01,9.778880348500048614e-01,2.161830254555707764e-02
4.800000000000000000e+01,9.780703547852280799e-01,2.181439090489972754e-02
4.850000000000000000e+01,9.782973396248542119e-01,2.199973450170350509e-02
4.900000000000000000e+01,9.785036331433484280e-01,2.212169863445556661e-02
4.950000000000000000e+01,9.786346869881390464e-01,2.214956961954994696e-02
